Unnamed: 0,RubroN3,FechaCreacion,cantidad,totalLineaNeto,mes_año_x,PIB,IPC,IMACEC
2733,"Pan, galletas y pastelitos dulces",2013-02-28,993709.98769,571309457.289729,2013-02,43591.2289898859,2.1,91.596476733005
2860,Pasta o tallarines naturales,2013-02-28,58519.7,93231371.98470552,2013-02,43591.2289898859,2.1,91.596476733005
2989,Pescados,2013-02-28,19985.232,46419896.81617324,2013-02,43591.2289898859,2.1,91.596476733005
3116,Plantas acuáticas,2013-02-28,175.0,234007.8975,2013-02,43591.2289898859,2.1,91.596476733005
3243,Platos combinados empaquetados,2013-02-28,44105.0,272058739.8,2013-02,43591.2289898859,2.1,91.596476733005
3371,Postres y decoraciones,2013-02-28,264484.0,94425384.7465953,2013-02,43591.2289898859,2.1,91.596476733005
3500,"Productos de chocolates, azúcares y edulcorantes",2013-02-28,2419090.4,53182569.660186686,2013-02,43591.2289898859,2.1,91.596476733005
3630,Productos de confitería,2013-02-28,67467.0,43453463.46386903,2013-02,43591.2289898859,2.1,91.596476733005
3761,Productos de leche y mantequilla,2013-02-28,22328733.5,506328654.74841,2013-02,43591.2289898859,2.1,91.596476733005
3887,"Productos, suministros y accesorios para tabaco",2013-02-28,10134.0,883668.0,2013-02,43591.2289898859,2.1,91.596476733005
4018,Quesos,2013-02-28,42991.9173,88852520.89879446,2013-02,43591.2289898859,2.1,91.596476733005
4146,"Salmuera, salsas y aceitunas",2013-02-28,47661.778,95456418.22023344,2013-02,43591.2289898859,2.1,91.596476733005
4277,"Salsas, condimentos y productos para untar",2013-02-28,54628.179,32085084.01280291,2013-02,43591.2289898859,2.1,91.596476733005
4409,Sandwiches y panecillos con relleno,2013-02-28,756948.72,33912445.32557519,2013-02,43591.2289898859,2.1,91.596476733005
4536,Sopas y estofados,2013-02-28,21732.0,147803427.04664,2013-02,43591.2289898859,2.1,91.596476733005
4663,Suministros y mezclas para hacer al horno,2013-02-28,20628.0,30776660.18409423,2013-02,43591.2289898859,2.1,91.596476733005
4790,Tabaco y substitutos,2013-02-28,21147.0,90336823.008,2013-02,43591.2289898859,2.1,91.596476733005
4917,"Tartas, empanadas y pastas",2013-02-28,98480.4,150577893.0515841,2013-02,43591.2289898859,2.1,91.596476733005
5045,Tentempiés,2013-02-28,6080.0,10818111.7924236,2013-02,43591.2289898859,2.1,91.596476733005
5181,Verduras,2013-02-28,1556094.322,889708047.2565496,2013-02,43591.2289898859,2.1,91.596476733005
5308,Vinagres y vinos de cocinar,2013-02-28,1843.0,1721621.71540252,2013-02,43591.2289898859,2.1,91.596476733005
5,Aceites vegetales y grasas comestibles,2013-03-31,32300.298,96380995.28461416,2013-03,43591.2289898859,1.5,94.690431285772
133,Acompañamientos preparados,2013-03-31,90690.0,85559322.78,2013-03,43591.2289898859,1.5,94.690431285772
261,Bebidas alcohólicas,2013-03-31,16729.0,34398261.227845296,2013-03,43591.2289898859,1.5,94.690431285772
390,Bebidas no alcohólicas,2013-03-31,664865.061,363165045.0423881,2013-03,43591.2289898859,1.5,94.690431285772
518,Bebidas y comidas infantiles,2013-03-31,8239.0,14646271.5646,2013-03,43591.2289898859,1.5,94.690431285772
647,Café y té,2013-03-31,62782.5,133456580.81965622,2013-03,43591.2289898859,1.5,94.690431285772
782,Carnes procesadas y preparadas,2013-03-31,95253.3365,269022015.4598911,2013-03,43591.2289898859,1.5,94.690431285772
917,Carnes y aves de corral,2013-03-31,670620.75755233,1339754203.66129,2013-03,43591.2289898859,1.5,94.690431285772
1045,Cereales,2013-03-31,408117.55,188579063.01073265,2013-03,43591.2289898859,1.5,94.690431285772
1172,Cereales procesados,2013-03-31,226216.1,29800913.5563,2013-03,43591.2289898859,1.5,94.690431285772
1299,"Empanadas, tartas y pies",2013-03-31,42056.0,24739029.06854689,2013-03,43591.2289898859,1.5,94.690431285772
1425,Ensaladas preparadas,2013-03-31,178.0,147805.042016806,2013-03,43591.2289898859,1.5,94.690431285772
1560,Frutas,2013-03-31,378911.578,243459103.27073675,2013-03,43591.2289898859,1.5,94.690431285772
1688,Frutos secos,2013-03-31,19581.0,10233241.371040158,2013-03,43591.2289898859,1.5,94.690431285772
1815,Grasas y aceites animales comestibles,2013-03-31,1433.0,2112205.4936,2013-03,43591.2289898859,1.5,94.690431285772
1944,"Hierbas, especias y extractos",2013-03-31,146148.366,50624125.69986189,2013-03,43591.2289898859,1.5,94.690431285772
2078,Huevos y sustitutos,2013-03-31,360615.97,39893776.41055743,2013-03,43591.2289898859,1.5,94.690431285772
2219,"Jaleas, gelatinas, mermeladas, pastas de untar, dulces y conservas de frutas",2013-03-31,69370.0,51262001.91776706,2013-03,43591.2289898859,1.5,94.690431285772
2346,Legumbres,2013-03-31,89694.7,135656685.43148208,2013-03,43591.2289898859,1.5,94.690431285772
2473,Mariscos frescos,2013-03-31,6888.97,28333856.80913273,2013-03,43591.2289898859,1.5,94.690431285772
2600,Materiales y mezclas instantáneas,2013-03-31,76115.0,91446657.50012603,2013-03,43591.2289898859,1.5,94.690431285772
2734,"Pan, galletas y pastelitos dulces",2013-03-31,764245.8831884644,571863252.6163614,2013-03,43591.2289898859,1.5,94.690431285772
2861,Pasta o tallarines naturales,2013-03-31,99598.0,177459742.24917847,2013-03,43591.2289898859,1.5,94.690431285772
2990,Pescados,2013-03-31,22074.058,48560190.35887616,2013-03,43591.2289898859,1.5,94.690431285772
3117,Plantas acuáticas,2013-03-31,202.0,375610.0,2013-03,43591.2289898859,1.5,94.690431285772
