category,createdAt,quantity,total,Rubro,Clase,mes_año_x,PIB,IPC,IVCM_alimentos
"Alimentos, bebidas y tabaco / Cereales y Legumbres / Legumbres",2020-12-31 00:00:00+00:00,232246.0,568286516.12,"Alimentos, bebidas y tabaco",Legumbres,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Chocolates, azúcares, edulcorantes y productos de confitería / Productos de chocolates, azúcares y edulcorantes",2020-12-31 00:00:00+00:00,657187.0,333097756.1334,"Alimentos, bebidas y tabaco","Productos de chocolates, azúcares y edulcorantes",2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Chocolates, azúcares, edulcorantes y productos de confitería / Productos de confitería",2020-12-31 00:00:00+00:00,75824.0,30453114.673352,"Alimentos, bebidas y tabaco",Productos de confitería,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Condimentos y preservantes / Hierbas, especias y extractos",2020-12-31 00:00:00+00:00,1924601.5,58747316.3748,"Alimentos, bebidas y tabaco","Hierbas, especias y extractos",2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Condimentos y preservantes / Salmuera, salsas y aceitunas",2020-12-31 00:00:00+00:00,357590.5,294179704.973,"Alimentos, bebidas y tabaco","Salmuera, salsas y aceitunas",2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Condimentos y preservantes / Salsas, condimentos y productos para untar",2020-12-31 00:00:00+00:00,126416.0,84079471.3042016,"Alimentos, bebidas y tabaco","Salsas, condimentos y productos para untar",2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Condimentos y preservantes / Vinagres y vinos de cocinar",2020-12-31 00:00:00+00:00,4164.0,2836804.0,"Alimentos, bebidas y tabaco",Vinagres y vinos de cocinar,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Frutas, verduras y frutos secos / Frutas",2020-12-31 00:00:00+00:00,925259.84,1149811651.45836,"Alimentos, bebidas y tabaco",Frutas,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Frutas, verduras y frutos secos / Frutos secos",2020-12-31 00:00:00+00:00,4806.0,18194718.0,"Alimentos, bebidas y tabaco",Frutos secos,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Frutas, verduras y frutos secos / Verduras",2020-12-31 00:00:00+00:00,2717040.8073,2584302688.7621207,"Alimentos, bebidas y tabaco",Verduras,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Pescados y mariscos / Mariscos frescos",2020-12-31 00:00:00+00:00,1845.0,22142329.64,"Alimentos, bebidas y tabaco",Mariscos frescos,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Pescados y mariscos / Pescados",2020-12-31 00:00:00+00:00,180991.0,521302015.269612,"Alimentos, bebidas y tabaco",Pescados,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Pescados y mariscos / Plantas acuáticas",2020-12-31 00:00:00+00:00,210.0,312000.0,"Alimentos, bebidas y tabaco",Plantas acuáticas,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Productos de carne y aves de corral / Carnes procesadas y preparadas",2020-12-31 00:00:00+00:00,115607.66658,447133903.7454522,"Alimentos, bebidas y tabaco",Carnes procesadas y preparadas,2020-12,42145.390546874,0.3,116.5187392004
"Alimentos, bebidas y tabaco / Productos de carne y aves de corral / Carnes y aves de corral",2020-12-31 00:00:00+00:00,1189860.472,4548468662.842036,"Alimentos, bebidas y tabaco",Carnes y aves de corral,2020-12,42145.390546874,0.3,116.5187392004
